"hospital","total_bill_amount"
"Johnson PLC","1037706.22"
"LLC Smith","948561.10"
"Ltd Smith","915166.77"
"Smith PLC","901359.29"
"Smith Ltd","897694.86"
"Group Smith","847450.76"
"Johnson Inc","799626.59"
"Inc Brown","788752.53"
"LLC Johnson","766627.99"
"Smith Group","740164.31"
"Inc Jones","719331.31"
"Williams LLC","710196.17"
"Brown Inc","705969.16"
"Inc Smith","695782.69"
"PLC Williams","685554.55"
"Johnson Ltd","674539.73"
"Group Johnson","650742.81"
"Smith Inc","648750.78"
"PLC Smith","618213.91"
"Smith LLC","614709.37"
"Johnson Group","613210.34"
"Inc Williams","601133.63"
"Williams Group","596705.71"
"Brown LLC","569869.34"
"Miller Inc","569596.08"
"Brown PLC","564460.85"
"LLC Williams","555026.88"
"Williams Ltd","547695.44"
"Inc Johnson","542054.30"
"Johnson LLC","533684.52"
"Ltd Brown","523849.30"
"Williams Inc","510634.28"
"Ltd Jones","510628.92"
"Jones LLC","509890.14"
"Group Brown","506359.19"
"Jones Ltd","505145.80"
"Group Davis","498075.19"
"LLC Garcia","480997.13"
"Brown Group","478175.68"
"Ltd Johnson","474454.49"
"Miller LLC","457704.81"
"LLC Brown","450130.92"
"Jones Group","448482.87"
"PLC Rodriguez","444917.15"
"LLC Jones","435557.91"
"Jones Inc","430976.23"
"Garcia PLC","428346.60"
"Brown Ltd","425571.70"
"Inc Rodriguez","423118.05"
"Miller Ltd","422514.43"
"Group Miller","418852.85"
"Wilson Group","418517.48"
"Miller PLC","411591.97"
"Martin Inc","409568.14"
"Williams PLC","404017.99"
"PLC Brown","402094.37"
"Davis Inc","397656.51"
"Group Jones","394772.09"
"Davis Group","392112.46"
"LLC Davis","383787.08"
"Inc Anderson","383145.48"
"Lopez PLC","382992.63"
"Garcia Group","381637.20"
"Inc Garcia","379463.66"
"Ltd Miller","372213.83"
"Davis PLC","371854.85"
"White Inc","371586.99"
"Group Garcia","369336.94"
"Ramirez Group","361242.00"
"PLC Miller","355128.68"
"PLC Thomas","352397.55"
"PLC Johnson","350195.55"
"Rodriguez Group","348071.07"
"Group Martinez","346260.64"
"Inc Taylor","344880.14"
"Inc Hernandez","344401.26"
"Moore Inc","341689.37"
"Wilson PLC","340391.73"
"Thomas LLC","333795.70"
"Johnson Sons and","333341.54"
"Ltd Williams","330913.97"
"Wilson LLC","328928.28"
"Rodriguez Ltd","328363.92"
"Ltd Thompson","328165.31"
"Thompson Ltd","326032.30"
"Green PLC","325977.65"
"Rodriguez Inc","325557.28"
"LLC Clark","325375.56"
"Inc Moore","325179.13"
"Group Williams","323911.82"
"Thompson PLC","323500.31"
"Miller Group","323323.13"
"Ltd Hernandez","321633.03"
"King Ltd","316057.98"
"Moore LLC","315846.10"
"Clark PLC","315013.58"
"Inc Miller","314484.27"
"Inc Jackson","312095.72"
"Ltd Jackson","306031.38"
"Hernandez PLC","305878.37"
"Hernandez Ltd","305301.51"
"LLC Moore","304937.34"
"Martin Group","301850.25"
"Ltd Davis","297005.91"
"Jones Sons and","295969.84"
"Wilson Ltd","293960.96"
"Martinez Inc","293890.49"
"Group Cook","293505.68"
"Ltd Wright","291994.82"
"Martin PLC","289672.79"
"Group Rodriguez","289163.06"
"PLC Jackson","288471.15"
"Smith Sons and","287142.70"
"Ltd Anderson","287087.86"
"Sons and Brown","286935.94"
"Taylor Ltd","286519.37"
"and Sons Smith","286173.25"
"PLC Jones","283473.90"
"PLC Thompson","281908.93"
"LLC Wilson","281784.51"
"Inc Nelson","281266.05"
"Ltd Clark","280645.26"
"Sons and Johnson","280129.36"
"PLC Harris","279418.30"
"Lee PLC","278957.71"
"Jones PLC","275763.26"
"Stone Ltd","275694.31"
"Gilbert Ltd","275509.98"
"and Sons Williams","273307.21"
"PLC Lewis","271590.43"
"Walker PLC","271403.58"
"Ltd Lewis","271087.27"
"Moore PLC","267966.33"
"Inc Davis","265543.60"
"Inc Robinson","265499.90"
"Lopez Group","264385.73"
"Inc Gonzalez","263616.72"
"Moore Ltd","262305.05"
"LLC Rodriguez","261597.75"
"Jackson Inc","259759.93"
"Ltd Lee","258093.02"
"Thomas Inc","256401.82"
"Inc Lopez","256268.59"
"Group Hernandez","255658.86"
"Anderson PLC","254631.76"
"PLC Davis","252315.12"
"Harris Group","252156.05"
"Group Anderson","249992.03"
"Garcia Inc","249537.86"
"Ltd Martin","248861.94"
"White and Sons","248494.09"
"Inc Harris","247934.19"
"Anderson Inc","247439.29"
"Lewis Ltd","246890.47"
"PLC Anderson","244995.38"
"LLC Lopez","244568.14"
"LLC Taylor","243483.46"
"Ltd Martinez","242729.58"
"Sanchez Group","242663.96"
"PLC Green","241863.12"
"LLC Robinson","240355.14"
"Sons and Smith","240232.78"
"Inc Scott","240148.94"
"LLC Hernandez","240026.37"
"Turner Group","238795.25"
"Harris LLC","237414.91"
"Thomas and Sons","237199.15"
"Group Clark","236966.15"
"Ltd Scott","236823.40"
"Group Lewis","235891.02"
"LLC Harris","234396.93"
"Rodriguez PLC","233104.15"
"Phillips LLC","232667.33"
"Ltd Carter","232442.86"
"Lee LLC","231962.79"
"Allen Group","231666.61"
"Gonzalez Ltd","231381.96"
"Martinez Ltd","231347.55"
"Anderson LLC","231288.55"
"Sons Johnson and","231024.61"
"Harris PLC","230206.21"
"Ltd Nelson","229846.43"
"Sanchez Inc","228994.43"
"Ltd Myers","228611.23"
"Gonzalez Group","227418.80"
"Shaw LLC","226385.62"
"Ltd Thomas","225830.97"
"Inc Martin","223362.55"
"Hill Inc","222458.43"
"Cook Group","220785.62"
"LLC Martinez","220571.05"
"Sons Williams and","220077.10"
"Ltd Lopez","219490.82"
"Adams Group","219432.93"
"Hall Group","217367.63"
"PLC Cook","216155.77"
"Simmons LLC","215697.61"
"LLC Lee","214500.67"
"LLC Flores","213216.60"
"Group Wilson","213030.16"
"Inc Clark","213001.73"
"Johnson-Williams","212275.66"
"Lopez LLC","211914.75"
"Murphy LLC","211886.23"
"PLC Garcia","211674.25"
"Alvarez Ltd","211313.54"
"Clark LLC","210220.61"
"White Ltd","209805.07"
"LLC Martin","209101.76"
"PLC Perez","208384.36"
"LLC King","208028.68"
"Garcia LLC","207776.19"
"LLC Anderson","206898.58"
"PLC Ross","206380.85"
"Anderson Group","205575.94"
"Ltd Taylor","205566.28"
"Hall LLC","205194.25"
"Group Stewart","204263.95"
"Walker Group","203905.24"
"Lopez Inc","200488.11"
"Inc White","199245.08"
"Group Lopez","199182.04"
"Ltd West","199027.14"
"Ltd Phillips","198845.33"
"PLC White","198814.20"
"Gonzalez Inc","198292.46"
"Jackson PLC","198267.54"
"Davis Ltd","198023.16"
"Robinson Inc","198020.90"
"Inc Walker","197968.34"
"Martin Ltd","197594.38"
"Inc Carter","197573.92"
"PLC Wilson","197456.47"
"Martin LLC","197443.10"
"Ltd Campbell","197233.42"
"Murphy Inc","196657.84"
"Phillips Ltd","196505.20"
"Evans Group","196176.95"
"and Jones Sons","195995.69"
"Inc Lee","195012.35"
"Graham Ltd","195002.06"
"Parker LLC","194710.19"
"Ltd Reed","194389.10"
"Inc Wright","194332.35"
"Gibson LLC","194209.92"
"Wallace LLC","193880.79"
"Group Gonzalez","193751.22"
"Group Thompson","193750.70"
"White Group","193545.95"
"Ltd Harris","193336.44"
"PLC Scott","192969.48"
"PLC Roberts","192925.97"
"PLC Gonzalez","192467.92"
"Hall PLC","192380.61"
"Coleman Group","192355.87"
"LLC Allen","192124.57"
"Campbell LLC","191818.00"
"Mitchell Inc","191668.64"
"Wright Group","191590.04"
"White LLC","191490.85"
"Murray Ltd","190909.92"
"Walker Ltd","190853.03"
"Group Wright","190591.43"
"Group Barnes","190348.35"
"Hansen PLC","190249.58"
"LLC White","190087.85"
"Gonzalez LLC","189650.46"
"LLC Lewis","188433.73"
"Carter Inc","188417.99"
"Davis LLC","187929.62"
"Perez Group","187458.34"
"Sons Jones and","186493.27"
"Allen Ltd","186204.58"
"Long LLC","186200.48"
"Nguyen PLC","185286.15"
"PLC Nelson","185102.39"
"Group Scott","184902.34"
"Robinson LLC","184700.40"
"Smith-Wilson","184485.25"
"Inc Price","184326.09"
"PLC Lopez","184264.33"
"Taylor PLC","183876.32"
"Ward PLC","183873.12"
"Williams Sons and","183780.01"
"Ltd Allen","183612.87"
"Johnson-Smith","183259.44"
"Inc Harper","183161.55"
"Hill Group","183066.65"
"Ltd Hall","183020.25"
"LLC Perez","182862.15"
"Ltd Porter","182852.47"
"Thomas Ltd","182695.97"
"Sons Miller and","182373.87"
"Pearson PLC","182099.68"
"LLC Baker","181528.04"
"Jackson Ltd","181229.80"
"Ltd Turner","181204.65"
"LLC Howard","180940.95"
"Group Martin","180858.45"
"Group Green","180054.63"
"Jackson Group","179887.93"
"Inc Phillips","179392.54"
"Group Ward","179011.98"
"Rivera PLC","179005.90"
"Gonzalez Sons and","178862.58"
"PLC Taylor","178750.04"
"King Inc","178065.17"
"Sons Cox and","177723.83"
"Lee Sons and","177657.84"
"Wilson Inc","177514.06"
"Garcia Ltd","177133.20"
"Clark Ltd","177055.97"
"Sanders Inc","175893.27"
"Ltd Ramirez","175747.27"
"Inc Evans","175642.03"
"Inc Martinez","174916.59"
"Group Simpson","174394.48"
"Cook Inc","173911.46"
"LLC Thompson","173720.80"
"Clark Inc","172959.20"
"White PLC","172921.44"
"PLC Harrison","172749.85"
"LLC Roberts","172459.32"
"LLC Bennett","172309.93"
"Dunn PLC","172188.82"
"Ltd Murphy","171759.04"
"Ltd Moore","170774.53"
"Allen PLC","170306.87"
"Smith-Smith","170218.80"
"Ltd Alexander","170059.52"
"Evans Ltd","169969.09"
"Cruz Inc","169382.66"
"PLC Young","169200.15"
"Martinez LLC","168871.17"
"Thompson Sons and","168853.30"
"LLC Reyes","168783.96"
"James Ltd","167975.47"
"Miller-Smith","167685.77"
"Wright PLC","167634.91"
"Cook Ltd","167560.15"
"Adams LLC","167398.47"
"PLC Carter","167249.30"
"PLC Flores","166846.02"
"Lee Ltd","166726.63"
"Lee Group","166635.12"
"Bennett PLC","166449.47"
"Patel LLC","166225.66"
"Group Walker","165874.76"
"Ltd Perez","165807.86"
"LLC Bell","165574.32"
"Garza Group","165552.33"
"Wallace Ltd","165173.21"
"LLC Ward","165066.20"
"Ltd Peterson","164976.46"
"PLC Bell","164936.06"
"Reynolds and Sons","164346.21"
"Group Grant","164056.06"
"PLC Morales","163858.78"
"Diaz Inc","163738.97"
"Phillips Inc","163262.13"
"LLC Freeman","163105.06"
"LLC Gonzalez","162986.56"
"and Sons Lee","162874.59"
"Thomas Group","162137.84"
"Inc Butler","162107.81"
"PLC Martin","162054.54"
"Martinez Group","162000.13"
"Inc Morgan","161948.58"
"Edwards PLC","161924.96"
"Group Harris","161893.87"
"Griffin PLC","161630.54"
"Harris Inc","161596.58"
"Anderson and Sons","161590.04"
"Ltd White","160550.96"
"PLC Moore","160514.51"
"Taylor Inc","160039.46"
"Sons Martin and","159598.49"
"Group Alexander","159408.71"
"Inc Perez","159332.01"
"Ltd Gibson","159247.50"
"Inc Powell","159044.27"
"Ramirez Inc","159018.70"
"Sons Thomas and","158909.60"
"PLC Allen","158833.13"
"Gonzales Group","158754.35"
"Inc Adams","158644.87"
