"hospital","num_vistit"
"LLC Smith","40"
"Ltd Smith","35"
"Smith Ltd","35"
"Johnson PLC","34"
"Smith PLC","33"
"Smith Group","32"
"Group Smith","30"
"Johnson Inc","28"
"Smith LLC","28"
"Smith Inc","28"
"LLC Johnson","28"
"PLC Williams","27"
"PLC Smith","26"
"Brown Inc","26"
"Inc Smith","25"
"Williams LLC","25"
"Johnson Group","24"
"Inc Johnson","24"
"Inc Brown","24"
"Group Johnson","24"
"Brown LLC","24"
"Inc Jones","23"
"Group Brown","22"
"LLC Williams","20"
"Brown PLC","20"
"Williams Group","20"
"Inc Williams","20"
"Johnson LLC","20"
"Williams Inc","19"
"Ltd Brown","19"
"Johnson Ltd","19"
"Miller Inc","19"
"LLC Garcia","19"
"Jones LLC","19"
"LLC Brown","18"
"Jones Ltd","18"
"Brown Group","18"
"Ltd Johnson","18"
"Williams Ltd","18"
"Group Jones","18"
"Brown Ltd","17"
"Miller PLC","17"
"Miller Ltd","17"
"LLC Jones","17"
"Ltd Jones","17"
"Group Davis","17"
"Jones Group","17"
"Wilson Group","16"
"Ltd Williams","16"
"Williams PLC","16"
"Group Williams","16"
"PLC Rodriguez","15"
"PLC Jones","15"
"Martin Inc","15"
"Jones Inc","15"
"Miller LLC","15"
"PLC Brown","15"
"PLC Thomas","14"
"Davis PLC","14"
"Wilson PLC","14"
"Rodriguez Ltd","14"
"Group Garcia","14"
"Inc Taylor","14"
"Davis Inc","14"
"White Inc","14"
"Inc Rodriguez","14"
"Moore LLC","14"
"PLC Johnson","14"
"Inc Miller","14"
"Davis Group","14"
"Hill Inc","13"
"PLC Miller","13"
"Ltd Miller","13"
"Jones PLC","13"
"Taylor Ltd","13"
"Garcia Group","13"
"Inc Jackson","13"
"LLC Davis","13"
"Group Miller","13"
"Anderson PLC","13"
"Inc Hernandez","13"
"PLC Davis","13"
"Thomas LLC","13"
"Inc Nelson","12"
"Garcia PLC","12"
"Johnson Sons and","12"
"Inc Garcia","12"
"Hernandez PLC","12"
"Martinez Inc","12"
"Anderson LLC","12"
"Rodriguez PLC","12"
"LLC Moore","12"
"Ramirez Group","12"
"Miller Group","12"
"Ltd Hernandez","12"
"Group Hernandez","12"
"Green PLC","12"
"Rodriguez Inc","12"
"Anderson Inc","12"
"Lopez PLC","12"
"Inc Lopez","12"
"Inc Lee","12"
"PLC Anderson","12"
"Wilson LLC","12"
"Sons and Johnson","12"
"and Sons Williams","12"
"Anderson Group","12"
"Moore Inc","12"
"and Sons Smith","12"
"Inc Davis","12"
"Moore PLC","11"
"Wilson Ltd","11"
"Clark PLC","11"
"Martin Group","11"
"Inc Harris","11"
"PLC Lewis","11"
"Rodriguez Group","11"
"Thompson PLC","11"
"Inc Gonzalez","11"
"Ltd Jackson","11"
"LLC Rodriguez","11"
"Thompson Ltd","11"
"Ltd Anderson","11"
"Ltd Wright","11"
"Ltd Thompson","11"
"PLC Thompson","11"
"Lee PLC","10"
"LLC Clark","10"
"PLC Lopez","10"
"PLC Harris","10"
"Inc Anderson","10"
"LLC Martinez","10"
"Ltd Martin","10"
"Group Lewis","10"
"King Ltd","10"
"White Group","10"
"LLC Hernandez","10"
"Robinson Inc","10"
"Martinez Ltd","10"
"Group Clark","10"
"Group Lopez","10"
"LLC Lopez","10"
"Inc Moore","10"
"Thomas and Sons","10"
"Sons and Brown","10"
"Davis Ltd","10"
"Smith Sons and","10"
"Hernandez Ltd","10"
"LLC Taylor","10"
"Jones Sons and","10"
"Inc Wright","10"
"Ltd Clark","10"
"Group Rodriguez","10"
